Date,Adj Close
10/11/2015,129.177551
11/11/2015,129.035141
12/11/2015,126.854782
13/11/2015,126.899254
16/11/2015,128.527878
17/11/2015,130.005234
18/11/2015,131.96312
19/11/2015,132.81752
20/11/2015,132.959869
23/11/2015,132.016525
24/11/2015,132.292389
25/11/2015,131.20665
27/11/2015,130.77948
30/11/2015,129.44455
01/12/2015,131.482529
02/12/2015,130.788361
03/12/2015,129.542404
04/12/2015,132.158875
07/12/2015,132.114395
08/12/2015,129.035141
09/12/2015,128.367691
10/12/2015,130.298904
11/12/2015,128.705887
14/12/2015,127.264145
15/12/2015,130.405716
16/12/2015,131.811798
17/12/2015,129.542404
18/12/2015,124.22049
21/12/2015,125.395226
22/12/2015,126.712364
23/12/2015,128.207458
24/12/2015,127.735809
28/12/2015,128.634689
29/12/2015,131.135498
30/12/2015,130.298904
31/12/2015,128.679169
04/01/2016,125.03923
05/01/2016,125.546516
06/01/2016,123.553009
07/01/2016,118.373428
08/01/2016,115.685776
11/01/2016,115.881584
12/01/2016,117.403381
13/01/2016,114.02153
14/01/2016,114.982697
15/01/2016,111.80555
19/01/2016,112.188217
20/01/2016,108.699608
21/01/2016,109.820953
22/01/2016,110.897789
25/01/2016,110.363815
26/01/2016,113.923645
27/01/2016,103.751411
28/01/2016,105.024078
29/01/2016,106.910767
01/02/2016,108.183426
02/02/2016,104.587975
03/02/2016,108.459305
04/02/2016,110.007843
05/02/2016,109.07338
08/02/2016,106.323395
09/02/2016,105.79834
10/02/2016,104.513908
11/02/2016,97.400223
12/02/2016,97.570869
16/02/2016,101.136703
17/02/2016,104.495949
18/02/2016,105.600723
19/02/2016,103.436096
22/02/2016,105.439049
23/02/2016,104.998924
24/02/2016,103.822304
25/02/2016,104.927071
26/02/2016,106.130669
29/02/2016,106.148621
01/03/2016,107.747421
02/03/2016,107.468994
03/03/2016,107.433044
04/03/2016,108.7444
07/03/2016,110.388115
08/03/2016,109.894096
09/03/2016,110.352173
10/03/2016,110.424026
11/03/2016,111.941978
14/03/2016,113.47789
15/03/2016,113.495865
16/03/2016,114.582687
